Pf_geneID	Po_geneID
PF3D7_0210000	PocGH01_04020100
PF3D7_0210100	PocGH01_04020000
PF3D7_0210200	PocGH01_04019900
PF3D7_0210300	PocGH01_07033800
PF3D7_0210400	PocGH01_04019700
PF3D7_0210500	PocGH01_04019600
PF3D7_0210700	PocGH01_04019400
PF3D7_0210800	PocGH01_04019300
PF3D7_0210900	PocGH01_04019200
PF3D7_0211100	PocGH01_04019100
PF3D7_0211200	PocGH01_04019000
PF3D7_0211300	PocGH01_04018900
PF3D7_0211400	PocGH01_04018800
PF3D7_0211500	PocGH01_04018700
PF3D7_0211600	PocGH01_04018500
PF3D7_0211700	PocGH01_04018400
PF3D7_0211800	PocGH01_04018300
PF3D7_0211900	PocGH01_04018200
PF3D7_0212000	PocGH01_04018100
PF3D7_0212200	PocGH01_10017100
PF3D7_0212300	PocGH01_04017800
PF3D7_0212400	PocGH01_04017700
PF3D7_0212500	PocGH01_04017600
PF3D7_0212600	PocGH01_04017500
PF3D7_0212700	PocGH01_04017400
PF3D7_0212900	PocGH01_04017200
PF3D7_0213000	PocGH01_04017100
PF3D7_0213300	PocGH01_04016900
PF3D7_0213400	PocGH01_04016700
PF3D7_0213500	PocGH01_04016600
PF3D7_0213600	PocGH01_04016500
PF3D7_0213700	PocGH01_04016400
PF3D7_0213800	PocGH01_04016300
PF3D7_0214000	PocGH01_04016100
PF3D7_0214100	PocGH01_04016000
PF3D7_0214200	PocGH01_04015900
PF3D7_0214300	PocGH01_14018500
PF3D7_0214400	PocGH01_04015700
PF3D7_0214500	PocGH01_04015600
PF3D7_0214700	PocGH01_04015400
PF3D7_0214800	PocGH01_04015300
PF3D7_0215100	PocGH01_04015000
PF3D7_0215200	PocGH01_04014900
PF3D7_0215400	PocGH01_04014800
PF3D7_0215600	PocGH01_06010700
PF3D7_0215800	PocGH01_04014400
PF3D7_0215900	PocGH01_04014300
PF3D7_0216000	PocGH01_04014200
PF3D7_0216100	PocGH01_04014100
PF3D7_0216200	PocGH01_04014000
PF3D7_0216300	PocGH01_04013900
PF3D7_0216400	PocGH01_04013800
PF3D7_0216600	PocGH01_04013600
PF3D7_0216700	PocGH01_04013500
PF3D7_0216800	PocGH01_04013400
PF3D7_0216900	PocGH01_04013300
PF3D7_0217000	PocGH01_04013200
PF3D7_0217100	PocGH01_04013100
PF3D7_0217200	PocGH01_04013000
PF3D7_0217300	PocGH01_04012900
PF3D7_0217400	PocGH01_04012800
PF3D7_0217500	PocGH01_04012700
PF3D7_0217600	PocGH01_04012600
PF3D7_0217700	PocGH01_04012500
PF3D7_0217800	PocGH01_04012400
PF3D7_0217900	PocGH01_04012300
PF3D7_0218000	PocGH01_04012200
PF3D7_0218100	PocGH01_04012100
PF3D7_0218300	PocGH01_04011900
PF3D7_0218400	PocGH01_04011800
PF3D7_0218500	PocGH01_04011700
PF3D7_0218600	PocGH01_04011600
PF3D7_0218700	PocGH01_04011500
PF3D7_0219100	PocGH01_04011100
PF3D7_0219200	PocGH01_04011000
PF3D7_0219300	PocGH01_04010900
PF3D7_0219400	PocGH01_04010800
PF3D7_0219600	PocGH01_04010600
PF3D7_0219900	PocGH01_04010300
PF3D7_0221700	PocGH01_12048600
PF3D7_0301800	PocGH01_08045700
PF3D7_0301900	PocGH01_08045600
PF3D7_0302000	PocGH01_08045500
PF3D7_0302100	PocGH01_08045400
PF3D7_0302500	PocGH01_07043400
PF3D7_0302700	PocGH01_08045200
PF3D7_0302800	PocGH01_08045100
PF3D7_0302900	PocGH01_08045000
PF3D7_0303000	PocGH01_08044900
PF3D7_0303100	PocGH01_08044800
PF3D7_0303200	PocGH01_08044700
PF3D7_0303300	PocGH01_08044600
PF3D7_0303400	PocGH01_08044500
PF3D7_0303500	PocGH01_12071200
PF3D7_0303600	PocGH01_08044300
PF3D7_0303700	PocGH01_08044200
PF3D7_0303800	PocGH01_08044100
PF3D7_0303900	PocGH01_08044000
PF3D7_0304100	PocGH01_08043800
PF3D7_0304200	PocGH01_08043700
PF3D7_0304300	PocGH01_00238800
PF3D7_0304400	PocGH01_08043600
PF3D7_0304500	PocGH01_08043500
PF3D7_0304600	PocGH01_00239700
PF3D7_0304800	PocGH01_08043400
PF3D7_0304900	PocGH01_08043300
PF3D7_0305000	PocGH01_08043200
PF3D7_0305300	PocGH01_08042900
PF3D7_0305400	PocGH01_08042800
PF3D7_0305500	PocGH01_08042700
PF3D7_0305600	PocGH01_08042600
PF3D7_0305700	PocGH01_08042500
PF3D7_0305800	PocGH01_08042400
PF3D7_0305900	PocGH01_08042300
PF3D7_0306000	PocGH01_08042200
PF3D7_0306200	PocGH01_08042000
PF3D7_0306300	PocGH01_08041900
PF3D7_0306400	PocGH01_08041800
PF3D7_0306500	PocGH01_08041700
PF3D7_0306600	PocGH01_08041600
PF3D7_0306700	PocGH01_08041500
PF3D7_0306800	PocGH01_08041400
PF3D7_0306900	PocGH01_08041300
PF3D7_0307100	PocGH01_08041200
PF3D7_0307200	PocGH01_08041100
PF3D7_0307300	PocGH01_08041000
PF3D7_0307400	PocGH01_08040900
PF3D7_0307500	PocGH01_08040800
PF3D7_0307700	PocGH01_08040600
PF3D7_0307800	PocGH01_08040500
PF3D7_0307900	PocGH01_08040400
PF3D7_0308000	PocGH01_08040300
PF3D7_0308100	PocGH01_08040200
PF3D7_0308200	PocGH01_08040100
PF3D7_0308300	PocGH01_08040000
PF3D7_0308500	PocGH01_08039800
PF3D7_0308600	PocGH01_08039700
PF3D7_0308700	PocGH01_08039600
PF3D7_0308800	PocGH01_08039500
PF3D7_0308900	PocGH01_08039400
PF3D7_0309000	PocGH01_08039300
PF3D7_0309100	PocGH01_08039200
PF3D7_0309200	PocGH01_03028100
PF3D7_0309300	PocGH01_08039000
PF3D7_0309500	PocGH01_08038900
PF3D7_0309600	PocGH01_08038800
PF3D7_0309800	PocGH01_08038600
PF3D7_0309900	PocGH01_08038500
PF3D7_0310000	PocGH01_08038400
PF3D7_0310100	PocGH01_08038300
PF3D7_0310300	PocGH01_08038100
PF3D7_0310400	PocGH01_08038000
PF3D7_0310500	PocGH01_08037900
PF3D7_0310600	PocGH01_08037800
PF3D7_0310700	PocGH01_08037700
PF3D7_0310800	PocGH01_08037600
PF3D7_0310900	PocGH01_08037500
PF3D7_0311000	PocGH01_08037400
PF3D7_0311100	PocGH01_08037300
PF3D7_0311200	PocGH01_08037200
PF3D7_0311300	PocGH01_08037100
PF3D7_0311400	PocGH01_08037000
PF3D7_0311500	PocGH01_08036900
PF3D7_0311600	PocGH01_08036800
PF3D7_0311700	PocGH01_13051800
PF3D7_0311800	PocGH01_08036600
PF3D7_0311900	PocGH01_08036500
PF3D7_0312000	PocGH01_08036400
PF3D7_0312100	PocGH01_08036300
PF3D7_0312200	PocGH01_08036200
PF3D7_0312300	PocGH01_08036100
PF3D7_0312400	PocGH01_08036000
PF3D7_0312500	PocGH01_08035900
PF3D7_0312800	PocGH01_08035600
PF3D7_0313000	PocGH01_00127400
PF3D7_0313100	PocGH01_08035500
PF3D7_0313200	PocGH01_08035400
PF3D7_0313300	PocGH01_08035300
PF3D7_0313400	PocGH01_08035200
PF3D7_0313500	PocGH01_08035100
PF3D7_0313600	PocGH01_08035000
PF3D7_0313700	PocGH01_08034900
PF3D7_0313800	PocGH01_08034800
PF3D7_0313900	PocGH01_08034700
PF3D7_0314000	PocGH01_08034600
PF3D7_0314200	PocGH01_08034300
PF3D7_0314300	PocGH01_08034200
PF3D7_0314400	PocGH01_08034100
PF3D7_0314500	PocGH01_08034000
PF3D7_0314600	PocGH01_08033900
PF3D7_0314800	PocGH01_08033700
PF3D7_0315000	PocGH01_08033500
PF3D7_0315100	PocGH01_08033400
PF3D7_0315200	PocGH01_08033300
PF3D7_0315300	PocGH01_08033200
PF3D7_0315400	PocGH01_08033100
PF3D7_0315500	PocGH01_08033000
PF3D7_0315600	PocGH01_08032900
PF3D7_0315700	PocGH01_08032800
PF3D7_0315900	PocGH01_08032600
PF3D7_0316000	PocGH01_08032500
PF3D7_0316100	PocGH01_08032400
PF3D7_0316200	PocGH01_08032300
PF3D7_0316300	PocGH01_08032200
PF3D7_0316400	PocGH01_08032100
PF3D7_0316500	PocGH01_08032000
PF3D7_0316600	PocGH01_08031900
PF3D7_0316700	PocGH01_08031800
PF3D7_0316800	PocGH01_08031700
PF3D7_0316900	PocGH01_08031600
PF3D7_0317000	PocGH01_08031500
PF3D7_0317100	PocGH01_08031400
PF3D7_0317200	PocGH01_08031300
PF3D7_0317400	PocGH01_08031100
PF3D7_0317500	PocGH01_08031000
PF3D7_0317600	PocGH01_08030900
PF3D7_0317700	PocGH01_08030800
PF3D7_0317800	PocGH01_08030700
PF3D7_0317900	PocGH01_08030600
PF3D7_0318000	PocGH01_08030500
PF3D7_0318100	PocGH01_08030400
PF3D7_0318200	PocGH01_12033500
PF3D7_0318300	PocGH01_08030200
PF3D7_0318400	PocGH01_08030100
PF3D7_0318500	PocGH01_08030000
PF3D7_0318600	PocGH01_08029900
PF3D7_0318700	PocGH01_08029800
PF3D7_0318800	PocGH01_08029700
PF3D7_0318900	PocGH01_08029600
PF3D7_0319000	PocGH01_08029500
PF3D7_0319100	PocGH01_08029400
PF3D7_0319200	PocGH01_08029300
PF3D7_0319400	PocGH01_08029100
PF3D7_0319500	PocGH01_08029000
PF3D7_0319700	PocGH01_08028800
PF3D7_0319800	PocGH01_08028700
PF3D7_0319900	PocGH01_08028600
PF3D7_0320000	PocGH01_08028500
PF3D7_0320100	PocGH01_08028400
PF3D7_0320200	PocGH01_12031600
PF3D7_0320400	PocGH01_08028100
PF3D7_0320500	PocGH01_08028000
PF3D7_0320600	PocGH01_08027900
PF3D7_0320700	PocGH01_08027800
PF3D7_0320800	PocGH01_08027700
PF3D7_0320900	PocGH01_08027600
PF3D7_0321200	PocGH01_08027300
PF3D7_0321400	PocGH01_08027100
PF3D7_0321500	PocGH01_08027000
PF3D7_0321600	PocGH01_08026900
PF3D7_0321700	PocGH01_08026800
PF3D7_0321800	PocGH01_08026700
PF3D7_0321900	PocGH01_08026600
PF3D7_0322000	PocGH01_08026500
PF3D7_0322100	PocGH01_08026400
PF3D7_0322300	PocGH01_08026200
PF3D7_0322400	PocGH01_08026100
PF3D7_0322500	PocGH01_10019000
PF3D7_0322600	PocGH01_08025900
PF3D7_0322700	PocGH01_08025800
PF3D7_0322800	PocGH01_08025700
PF3D7_0322900	PocGH01_08025600
PF3D7_0323100	PocGH01_08025400
PF3D7_0323200	PocGH01_08025300
PF3D7_0323300	PocGH01_08025200
PF3D7_0323400	PocGH01_08025100
PF3D7_0323500	PocGH01_08025000
PF3D7_0323600	PocGH01_08024900
PF3D7_0323700	PocGH01_08024800
PF3D7_0402300	PocGH01_07010200
PF3D7_0403100	PocGH01_03010400
PF3D7_0403300	PocGH01_03010600
PF3D7_0403500	PocGH01_03010800
PF3D7_0403700	PocGH01_03011100
PF3D7_0403900	PocGH01_03011300
PF3D7_0404000	PocGH01_03011400
PF3D7_0404100	PocGH01_00041900
PF3D7_0404200	PocGH01_03011600
PF3D7_0404500	PocGH01_03011800
PF3D7_0404700	PocGH01_03012200
PF3D7_0404800	PocGH01_03012300
PF3D7_0405000	PocGH01_03012500
PF3D7_0405100	PocGH01_03012600
PF3D7_0405200	PocGH01_04019500
PF3D7_0405300	PocGH01_13050400
PF3D7_0405400	PocGH01_03012900
PF3D7_0405500	PocGH01_03013000
PF3D7_0405600	PocGH01_03013100
PF3D7_0405700	PocGH01_03013200
PF3D7_0405800	PocGH01_03013300
PF3D7_0406000	PocGH01_03013500
PF3D7_0406100	PocGH01_03013600
PF3D7_0406200	PocGH01_03013700
PF3D7_0406400	PocGH01_03013800
PF3D7_0406500	PocGH01_03013900
PF3D7_0406600	PocGH01_03014000
PF3D7_0406700	PocGH01_03014100
PF3D7_0406800	PocGH01_03014200
PF3D7_0407100	PocGH01_03014500
PF3D7_0407200	PocGH01_03014600
PF3D7_0407300	PocGH01_03014700
PF3D7_0407400	PocGH01_03014800
PF3D7_0407500	PocGH01_03014900
PF3D7_0407700	PocGH01_03015100
PF3D7_0407900	PocGH01_03015300
PF3D7_0408000	PocGH01_03015400
PF3D7_0408100	PocGH01_03015500
PF3D7_0408200	PocGH01_03015600
PF3D7_0408300	PocGH01_03015700
PF3D7_0408400	PocGH01_03015800
PF3D7_0408500	PocGH01_03015900
PF3D7_0408600	PocGH01_03016000
PF3D7_0408700	PocGH01_07030700
PF3D7_0408800	PocGH01_03016200
PF3D7_0409000	PocGH01_03016400
PF3D7_0409100	PocGH01_03016500
PF3D7_0409200	PocGH01_03016600
PF3D7_0409300	PocGH01_12059600
PF3D7_0409400	PocGH01_03016800
PF3D7_0409500	PocGH01_03016900
PF3D7_0409600	PocGH01_03017000
PF3D7_0409700	PocGH01_03017100
PF3D7_0409800	PocGH01_03017200
PF3D7_0409900	PocGH01_03017300
PF3D7_0410000	PocGH01_03017400
PF3D7_0410400	PocGH01_03017800
PF3D7_0410500	PocGH01_03017900
PF3D7_0410600	PocGH01_03018000
PF3D7_0410900	PocGH01_03018300
PF3D7_0411100	PocGH01_03018500
PF3D7_0411200	PocGH01_03018600
PF3D7_0411400	PocGH01_03018800
PF3D7_0411700	PocGH01_03019100
PF3D7_0411900	PocGH01_03019400
PF3D7_0412000	PocGH01_03019500
PF3D7_0412100	PocGH01_API002600
PF3D7_0412200	PocGH01_03019700
PF3D7_0413500	PocGH01_05025600
PF3D7_0413600	PocGH01_05025700
PF3D7_0413700	PocGH01_05025800
PF3D7_0413800	PocGH01_05025900
PF3D7_0413900	PocGH01_05026000
PF3D7_0414000	PocGH01_05026100
PF3D7_0414100	PocGH01_05026200
PF3D7_0414200	PocGH01_05026300
PF3D7_0414300	PocGH01_05026400
PF3D7_0414500	PocGH01_05026600
PF3D7_0414600	PocGH01_05026700
PF3D7_0414700	PocGH01_05026800
PF3D7_0414800	PocGH01_05026900
PF3D7_0414900	PocGH01_05027000
PF3D7_0415000	PocGH01_05027100
PF3D7_0415100	PocGH01_05027200
PF3D7_0415200	PocGH01_05027300
PF3D7_0415300	PocGH01_05027400
PF3D7_0415400	PocGH01_05027500
PF3D7_0415500	PocGH01_05027600
PF3D7_0415600	PocGH01_05027700
PF3D7_0415700	PocGH01_05027800
PF3D7_0415800	PocGH01_05027900
PF3D7_0415900	PocGH01_05028000
PF3D7_0416000	PocGH01_05028100
PF3D7_0416100	PocGH01_00017300
PF3D7_0416200	PocGH01_00017200
PF3D7_0416300	PocGH01_00017100
PF3D7_0416400	PocGH01_00017000
PF3D7_0416600	PocGH01_00016900
PF3D7_0416700	PocGH01_00016800
PF3D7_0416800	PocGH01_00016700
PF3D7_0416900	PocGH01_00016600
PF3D7_0417000	PocGH01_00016500
PF3D7_0417100	PocGH01_00016400
PF3D7_0417200	PocGH01_05028400
PF3D7_0417300	PocGH01_05028500
PF3D7_0417400	PocGH01_05028600
PF3D7_0417500	PocGH01_05028700
PF3D7_0417600	PocGH01_05028800
PF3D7_0417800	PocGH01_05029000
PF3D7_0417900	PocGH01_05029100
PF3D7_0418000	PocGH01_05029200
PF3D7_0418100	PocGH01_05029300
PF3D7_0418200	PocGH01_05029400
PF3D7_0418400	PocGH01_05029600
PF3D7_0418500	PocGH01_05029700
PF3D7_0418700	PocGH01_05029900
PF3D7_0418800	PocGH01_05030000
PF3D7_0418900	PocGH01_05030100
PF3D7_0419000	PocGH01_05030200
PF3D7_0419100	PocGH01_05030300
PF3D7_0419200	PocGH01_05030400
PF3D7_0419300	PocGH01_05030500
PF3D7_0419400	PocGH01_05030600
PF3D7_0419500	PocGH01_05030700
PF3D7_0419600	PocGH01_05030800
PF3D7_0419700	PocGH01_05030900
PF3D7_0419800	PocGH01_05031000
PF3D7_0419900	PocGH01_05031100
PF3D7_0420100	PocGH01_05031300
PF3D7_0420200	PocGH01_05031500
PF3D7_0420400	PocGH01_04021400
PF3D7_0420500	PocGH01_05031800
PF3D7_0420600	PocGH01_05031900
PF3D7_0421700	PocGH01_05032000
PF3D7_0421800	PocGH01_05032100
PF3D7_0422000	PocGH01_05032300
PF3D7_0422100	PocGH01_14022600
PF3D7_0422200	PocGH01_05032500
PF3D7_0422400	PocGH01_05032700
PF3D7_0422500	PocGH01_12075700
PF3D7_0422600	PocGH01_05032900
PF3D7_0422700	PocGH01_05033000
PF3D7_0422800	PocGH01_05033100
PF3D7_0422900	PocGH01_05033200
PF3D7_0423100	PocGH01_05033400
PF3D7_0423200	PocGH01_05033500
PF3D7_0423500	PocGH01_05033800
PF3D7_0423600	PocGH01_05033900
PF3D7_0501100	PocGH01_04017000
PF3D7_0501300	PocGH01_10041400
PF3D7_0501400	PocGH01_00118400
PF3D7_0501600	PocGH01_10040900
PF3D7_0501700	PocGH01_10040800
PF3D7_0501800	PocGH01_10040700
PF3D7_0501900	PocGH01_10040600
PF3D7_0502000	PocGH01_10040500
PF3D7_0502100	PocGH01_10040400
PF3D7_0502200	PocGH01_10040300
PF3D7_0502400	PocGH01_10040100
PF3D7_0502500	PocGH01_10040000
PF3D7_0502600	PocGH01_10039900
PF3D7_0502700	PocGH01_10039800
PF3D7_0502800	PocGH01_10039700
PF3D7_0502900	PocGH01_10039600
PF3D7_0503000	PocGH01_10039500
PF3D7_0503100	PocGH01_10039400
PF3D7_0503200	PocGH01_10039300
PF3D7_0503300	PocGH01_10038100
PF3D7_0503400	PocGH01_10038000
PF3D7_0503500	PocGH01_10037900
PF3D7_0503600	PocGH01_10037800
PF3D7_0503800	PocGH01_10037700
PF3D7_0503900	PocGH01_10037600
PF3D7_0504100	PocGH01_10037400
PF3D7_0504200	PocGH01_10037300
PF3D7_0504300	PocGH01_10037200
PF3D7_0504400	PocGH01_10037100
PF3D7_0504500	PocGH01_10037000
PF3D7_0504600	PocGH01_10036900
PF3D7_0504800	PocGH01_14016800
PF3D7_0504900	PocGH01_10036600
PF3D7_0505000	PocGH01_10019800
PF3D7_0505100	PocGH01_10036400
PF3D7_0505200	PocGH01_10036300
PF3D7_0505300	PocGH01_10036200
PF3D7_0505400	PocGH01_10036100
PF3D7_0505500	PocGH01_10036000
PF3D7_0505600	PocGH01_10035900
PF3D7_0505700	PocGH01_10035800
PF3D7_0505800	PocGH01_10035700
PF3D7_0505900	PocGH01_10035600
PF3D7_0506000	PocGH01_10035500
PF3D7_0506100	PocGH01_10035400
PF3D7_0506200	PocGH01_10035300
PF3D7_0506300	PocGH01_10035200
PF3D7_0506400	PocGH01_10035100
PF3D7_0506700	PocGH01_10034800
PF3D7_0506800	PocGH01_10034700
PF3D7_0506900	PocGH01_10034600
PF3D7_0507000	PocGH01_10034500
PF3D7_0507100	PocGH01_10034400
PF3D7_0507200	PocGH01_10034300
PF3D7_0507300	PocGH01_10034200
PF3D7_0507400	PocGH01_10034100
PF3D7_0507500	PocGH01_10034000
PF3D7_0507600	PocGH01_10033900
PF3D7_0507700	PocGH01_10033800
PF3D7_0507800	PocGH01_10033700
PF3D7_0507900	PocGH01_10033600
PF3D7_0508100	PocGH01_10033400
PF3D7_0508200	PocGH01_10033300
PF3D7_0508300	PocGH01_10033200
PF3D7_0508400	PocGH01_10033100
PF3D7_0508500	PocGH01_10033000
PF3D7_0508600	PocGH01_10032900
PF3D7_0508700	PocGH01_10032800
PF3D7_0508800	PocGH01_10032700
PF3D7_0508900	PocGH01_09042500
PF3D7_0509000	PocGH01_10032500
PF3D7_0509100	PocGH01_10032400
PF3D7_0509200	PocGH01_10032300
PF3D7_0509300	PocGH01_10032200
PF3D7_0509400	PocGH01_10032100
PF3D7_0509500	PocGH01_10032000
PF3D7_0509600	PocGH01_10031900
PF3D7_0509800	PocGH01_10031700
PF3D7_0509900	PocGH01_10031600
PF3D7_0510000	PocGH01_10031500
PF3D7_0510100	PocGH01_10031400
PF3D7_0510200	PocGH01_10031300
PF3D7_0510300	PocGH01_10031200
PF3D7_0510400	PocGH01_10031100
PF3D7_0510500	PocGH01_10031000
PF3D7_0510700	PocGH01_10030900
PF3D7_0510800	PocGH01_10030800
PF3D7_0511000	PocGH01_10030600
PF3D7_0511100	PocGH01_10030500
PF3D7_0511200	PocGH01_10030400
PF3D7_0511300	PocGH01_10030300
PF3D7_0511400	PocGH01_10030200
PF3D7_0511500	PocGH01_10030100
PF3D7_0511700	PocGH01_10029900
PF3D7_0511800	PocGH01_10029800
PF3D7_0511900	PocGH01_10029700
PF3D7_0512000	PocGH01_10029600
PF3D7_0512100	PocGH01_10029500
PF3D7_0512200	PocGH01_10029400
PF3D7_0512300	PocGH01_10029300
PF3D7_0512400	PocGH01_10029200
PF3D7_0512500	PocGH01_10029000
PF3D7_0512600	PocGH01_10028900
PF3D7_0512800	PocGH01_10028700
PF3D7_0512900	PocGH01_10028600
PF3D7_0513000	PocGH01_10028500
PF3D7_0513100	PocGH01_10028400
PF3D7_0513200	PocGH01_10028300
PF3D7_0513300	PocGH01_10028200
PF3D7_0513400	PocGH01_10028100
PF3D7_0513500	PocGH01_10028000
PF3D7_0513600	PocGH01_10027900
PF3D7_0513700	PocGH01_10027800
PF3D7_0513800	PocGH01_10027700
PF3D7_0513900	PocGH01_10027600
PF3D7_0514000	PocGH01_10027500
PF3D7_0514100	PocGH01_10027400
PF3D7_0514200	PocGH01_10027300
PF3D7_0514300	PocGH01_10027200
PF3D7_0514500	PocGH01_10027000
PF3D7_0514600	PocGH01_10026900
PF3D7_0514800	PocGH01_10026700
PF3D7_0514900	PocGH01_10026600
PF3D7_0515000	PocGH01_10026500
PF3D7_0515200	PocGH01_10026300
PF3D7_0515300	PocGH01_10026200
PF3D7_0515400	PocGH01_10026100
PF3D7_0515500	PocGH01_10026000
PF3D7_0515600	PocGH01_10025900
PF3D7_0515700	PocGH01_10025800
PF3D7_0515800	PocGH01_10025700
PF3D7_0515900	PocGH01_14012900
PF3D7_0516000	PocGH01_10025500
PF3D7_0516100	PocGH01_10037500
PF3D7_0516200	PocGH01_10025400
PF3D7_0516300	PocGH01_10025300
PF3D7_0516400	PocGH01_10025200
PF3D7_0516500	PocGH01_10025100
PF3D7_0516600	PocGH01_05013800
PF3D7_0516700	PocGH01_07012000
PF3D7_0516900	PocGH01_10024700
