pv_gene_id,pf_gene_id
PVP01_0205400,PF3D7_0109700
PVP01_0205300,PF3D7_0109800
PVP01_0205200,PF3D7_0109850
PVP01_0205100,PF3D7_0109950
PVP01_0205000,PF3D7_0110000
PVP01_0204900,PF3D7_0110100
PVP01_0204800,PF3D7_0110200
PVP01_0204700,PF3D7_0110400
PVP01_0204500,PF3D7_0110600
PVP01_0204300,PF3D7_0110800
PVP01_0204200,PF3D7_0110900
PVP01_0204100,PF3D7_0111000
PVP01_0204000,PF3D7_0111200
PVP01_0203900,PF3D7_0111300
PVP01_0203700,PF3D7_0111500
PVP01_0203600,PF3D7_0111600
PVP01_0203500,PF3D7_0111700
PVP01_0203400,PF3D7_0111800
PVP01_0203300,PF3D7_0111900
PVP01_0203200,PF3D7_0112000
PVP01_0203100,PF3D7_0112100
PVP01_1271100,PF3D7_0201900
PVP01_0623100,PF3D7_0202600
PVP01_0422400,PF3D7_0202700
PVP01_0422300,PF3D7_0202800
PVP01_0422200,PF3D7_0202900
PVP01_0422000,PF3D7_0203100
PVP01_0421900,PF3D7_0203200
PVP01_0421800,PF3D7_0203300
PVP01_0421700,PF3D7_0203400
PVP01_0421500,PF3D7_0203600
PVP01_0421400,PF3D7_0203700
PVP01_0421300,PF3D7_0203800
PVP01_0421100,PF3D7_0204000
PVP01_0421000,PF3D7_0204100
PVP01_0420900,PF3D7_0204200
PVP01_0420800,PF3D7_0204300
PVP01_0420700,PF3D7_0204400
PVP01_0420600,PF3D7_0204500
PVP01_0420500,PF3D7_0204600
PVP01_0420400,PF3D7_0204700
PVP01_0420300,PF3D7_0204800
PVP01_0420200,PF3D7_0204900
PVP01_0419900,PF3D7_0205200
PVP01_0419700,PF3D7_0205400
PVP01_0419600,PF3D7_0205500
PVP01_0419500,PF3D7_0205600
PVP01_0419400,PF3D7_0205700
PVP01_0419300,PF3D7_0205800
PVP01_0419200,PF3D7_0205900
PVP01_0419100,PF3D7_0206000
PVP01_0419000,PF3D7_0206100
PVP01_0418900,PF3D7_0206200
PVP01_0418600,PF3D7_0206600
PVP01_0418500,PF3D7_0206700
PVP01_0418400,PF3D7_0206900
PVP01_0418200,PF3D7_0207100
PVP01_0418100,PF3D7_0207200
PVP01_0416700,PF3D7_0208100
PVP01_0416600,PF3D7_0208200
PVP01_0416500,PF3D7_0208300
PVP01_0416400,PF3D7_0208400
PVP01_0416300,PF3D7_0208500
PVP01_0416100,PF3D7_0208700
PVP01_0416000,PF3D7_0208800
PVP01_0415800,PF3D7_0209000
PVP01_0415700,PF3D7_0209100
PVP01_0415600,PF3D7_0209200
PVP01_0415500,PF3D7_0209300
PVP01_0415400,PF3D7_0209400
PVP01_0415200,PF3D7_0209600
PVP01_0415100,PF3D7_0209700
PVP01_0415000,PF3D7_0209800
PVP01_0414900,PF3D7_0210000
PVP01_0414800,PF3D7_0210100
PVP01_0414700,PF3D7_0210200
PVP01_0414500,PF3D7_0210400
PVP01_0414400,PF3D7_0210500
PVP01_0414100,PF3D7_0210800
PVP01_0414000,PF3D7_0210900
PVP01_0413900,PF3D7_0211100
PVP01_0413800,PF3D7_0211200
PVP01_0413700,PF3D7_0211300
PVP01_0413600,PF3D7_0211400
PVP01_0413500,PF3D7_0211500
PVP01_0413300,PF3D7_0211600
PVP01_0413200,PF3D7_0211700
PVP01_0413000,PF3D7_0211900
PVP01_0412900,PF3D7_0212000
PVP01_0412600,PF3D7_0212300
PVP01_0412500,PF3D7_0212400
PVP01_0412400,PF3D7_0212500
PVP01_0412300,PF3D7_0212600
PVP01_0412200,PF3D7_0212700
PVP01_0412100,PF3D7_0212800
PVP01_0412000,PF3D7_0212900
PVP01_0411900,PF3D7_0213000
PVP01_0411500,PF3D7_0213400
PVP01_0411400,PF3D7_0213500
PVP01_0411300,PF3D7_0213600
PVP01_0411200,PF3D7_0213700
PVP01_0411100,PF3D7_0213800
PVP01_0411000,PF3D7_0213900
PVP01_0410900,PF3D7_0214000
PVP01_0410800,PF3D7_0214100
PVP01_0410700,PF3D7_0214200
PVP01_1030800,PF3D7_0214300
PVP01_0410500,PF3D7_0214400
PVP01_0410400,PF3D7_0214500
PVP01_0410200,PF3D7_0214700
PVP01_0410100,PF3D7_0214800
PVP01_0410000,PF3D7_0214900
PVP01_0409800,PF3D7_0215100
PVP01_0409700,PF3D7_0215200
PVP01_0409600,PF3D7_0215400
PVP01_1465800,PF3D7_0215600
PVP01_0409200,PF3D7_0215800
PVP01_0409100,PF3D7_0215900
PVP01_0409000,PF3D7_0216000
PVP01_0408900,PF3D7_0216100
PVP01_0408800,PF3D7_0216200
PVP01_0408700,PF3D7_0216300
PVP01_0408600,PF3D7_0216400
PVP01_0408500,PF3D7_0216500
PVP01_0408400,PF3D7_0216600
PVP01_0408300,PF3D7_0216700
PVP01_0408200,PF3D7_0216800
PVP01_0408100,PF3D7_0216900
PVP01_0408000,PF3D7_0217000
PVP01_0407900,PF3D7_0217100
PVP01_0407700,PF3D7_0217300
PVP01_0407600,PF3D7_0217400
PVP01_0407500,PF3D7_0217500
PVP01_0407400,PF3D7_0217600
PVP01_0407300,PF3D7_0217700
PVP01_0407200,PF3D7_0217800
PVP01_0407100,PF3D7_0217900
PVP01_0407000,PF3D7_0218000
PVP01_0406900,PF3D7_0218100
PVP01_0406700,PF3D7_0218300
PVP01_0406600,PF3D7_0218400
PVP01_0406500,PF3D7_0218500
PVP01_0406400,PF3D7_0218600
PVP01_0406300,PF3D7_0218700
PVP01_0405900,PF3D7_0219100
PVP01_0405800,PF3D7_0219200
PVP01_0405700,PF3D7_0219300
PVP01_0405600,PF3D7_0219400
PVP01_0405400,PF3D7_0219600
PVP01_0405200,PF3D7_0219800
PVP01_0405100,PF3D7_0219900
PVP01_0405000,PF3D7_0220000
PVP01_0503900,PF3D7_0301500
PVP01_0838100,PF3D7_0301700
PVP01_0838000,PF3D7_0301800
PVP01_0837900,PF3D7_0301900
PVP01_0837800,PF3D7_0302000
PVP01_0837700,PF3D7_0302100
PVP01_0837600,PF3D7_0302600
PVP01_0837500,PF3D7_0302700
PVP01_0837400,PF3D7_0302800
PVP01_0837300,PF3D7_0302900
PVP01_0837200,PF3D7_0303000
PVP01_0837100,PF3D7_0303100
PVP01_0837000,PF3D7_0303200
PVP01_0836900,PF3D7_0303300
PVP01_0836800,PF3D7_0303400
PVP01_0836600,PF3D7_0303600
PVP01_0836500,PF3D7_0303700
PVP01_0836400,PF3D7_0303800
PVP01_0836300,PF3D7_0303900
PVP01_0836100,PF3D7_0304100
PVP01_0836000,PF3D7_0304200
PVP01_0835900,PF3D7_0304300
PVP01_0835800,PF3D7_0304400
PVP01_0835400,PF3D7_0304800
PVP01_0835300,PF3D7_0304900
PVP01_0835200,PF3D7_0305000
PVP01_0835000,PF3D7_0305200
PVP01_0834900,PF3D7_0305300
PVP01_0834800,PF3D7_0305400
PVP01_0834700,PF3D7_0305500
PVP01_0834600,PF3D7_0305600
PVP01_0834500,PF3D7_0305700
PVP01_0834400,PF3D7_0305800
PVP01_0834300,PF3D7_0305900
PVP01_0834200,PF3D7_0306000
PVP01_0834000,PF3D7_0306200
PVP01_0833900,PF3D7_0306300
PVP01_0833800,PF3D7_0306400
PVP01_0833700,PF3D7_0306500
PVP01_0833600,PF3D7_0306600
PVP01_0833500,PF3D7_0306700
PVP01_0833400,PF3D7_0306800
PVP01_0833200,PF3D7_0306900
PVP01_0833100,PF3D7_0307100
PVP01_0833000,PF3D7_0307200
PVP01_0832900,PF3D7_0307300
PVP01_0832800,PF3D7_0307400
PVP01_0832700,PF3D7_0307500
PVP01_0832500,PF3D7_0307700
PVP01_0832400,PF3D7_0307800
PVP01_0832300,PF3D7_0307900
PVP01_0832200,PF3D7_0308000
PVP01_0832100,PF3D7_0308100
PVP01_0832000,PF3D7_0308200
PVP01_0831900,PF3D7_0308300
PVP01_0831700,PF3D7_0308500
PVP01_0831600,PF3D7_0308600
PVP01_0831500,PF3D7_0308700
PVP01_0831400,PF3D7_0308800
PVP01_0831300,PF3D7_0308900
PVP01_0831200,PF3D7_0309000
PVP01_0831100,PF3D7_0309100
PVP01_0830900,PF3D7_0309300
PVP01_0830700,PF3D7_0309500
PVP01_0830600,PF3D7_0309600
PVP01_0830500,PF3D7_0309700
PVP01_0830400,PF3D7_0309800
PVP01_0830300,PF3D7_0309900
PVP01_0830200,PF3D7_0310000
PVP01_0829900,PF3D7_0310300
PVP01_0829800,PF3D7_0310400
PVP01_0829700,PF3D7_0310500
PVP01_0829600,PF3D7_0310600
PVP01_0829500,PF3D7_0310700
PVP01_0829400,PF3D7_0310800
PVP01_0829200,PF3D7_0311000
PVP01_0829100,PF3D7_0311100
PVP01_0829000,PF3D7_0311200
PVP01_0828900,PF3D7_0311300
PVP01_0828700,PF3D7_0311500
PVP01_0828600,PF3D7_0311600
PVP01_0828400,PF3D7_0311800
PVP01_0828300,PF3D7_0311900
PVP01_0828200,PF3D7_0312000
PVP01_0828100,PF3D7_0312100
PVP01_0828000,PF3D7_0312200
PVP01_0827900,PF3D7_0312300
PVP01_0827800,PF3D7_0312400
PVP01_0827700,PF3D7_0312500
PVP01_0827400,PF3D7_0312800
PVP01_0827100,PF3D7_0313100
PVP01_0827000,PF3D7_0313200
PVP01_0826900,PF3D7_0313300
PVP01_0826800,PF3D7_0313400
PVP01_0826700,PF3D7_0313500
PVP01_0826600,PF3D7_0313600
PVP01_0826500,PF3D7_0313700
PVP01_0826400,PF3D7_0313800
PVP01_0826300,PF3D7_0313900
PVP01_0826200,PF3D7_0314000
PVP01_0825900,PF3D7_0314200
PVP01_0825700,PF3D7_0314400
PVP01_0825600,PF3D7_0314500
PVP01_0825500,PF3D7_0314600
PVP01_0825100,PF3D7_0315000
PVP01_0825000,PF3D7_0315100
PVP01_0824900,PF3D7_0315200
PVP01_0824800,PF3D7_0315300
PVP01_0824700,PF3D7_0315400
PVP01_0824600,PF3D7_0315500
PVP01_0824400,PF3D7_0315700
PVP01_0824200,PF3D7_0315900
PVP01_0824100,PF3D7_0316000
PVP01_0824000,PF3D7_0316100
PVP01_0823900,PF3D7_0316200
PVP01_0823800,PF3D7_0316300
PVP01_0823700,PF3D7_0316400
PVP01_0823600,PF3D7_0316500
PVP01_0823500,PF3D7_0316600
PVP01_0823400,PF3D7_0316700
PVP01_0823200,PF3D7_0316900
PVP01_0823100,PF3D7_0317000
PVP01_0823000,PF3D7_0317100
PVP01_0822900,PF3D7_0317200
PVP01_0822800,PF3D7_0317300
PVP01_0822600,PF3D7_0317500
PVP01_0822400,PF3D7_0317700
PVP01_0822300,PF3D7_0317800
PVP01_0822200,PF3D7_0317900
PVP01_0822100,PF3D7_0318000
PVP01_0822000,PF3D7_0318100
PVP01_0821800,PF3D7_0318300
PVP01_0821700,PF3D7_0318400
PVP01_0821600,PF3D7_0318500
PVP01_0821500,PF3D7_0318600
PVP01_0821400,PF3D7_0318800
PVP01_0821300,PF3D7_0318900
PVP01_0821200,PF3D7_0319000
PVP01_0821100,PF3D7_0319100
PVP01_0821000,PF3D7_0319200
PVP01_0820800,PF3D7_0319400
PVP01_0820700,PF3D7_0319500
PVP01_0820500,PF3D7_0319700
PVP01_0820400,PF3D7_0319800
PVP01_0820300,PF3D7_0319900
PVP01_0820200,PF3D7_0320000
PVP01_0820100,PF3D7_0320100
PVP01_0819800,PF3D7_0320400
PVP01_0819700,PF3D7_0320500
PVP01_0819600,PF3D7_0320600
PVP01_0819500,PF3D7_0320700
PVP01_0819400,PF3D7_0320800
PVP01_0819300,PF3D7_0320900
PVP01_0819200,PF3D7_0321000
PVP01_0819000,PF3D7_0321200
PVP01_0818900,PF3D7_0321300
PVP01_0818800,PF3D7_0321400
PVP01_0818700,PF3D7_0321500
PVP01_0818600,PF3D7_0321600
PVP01_0818500,PF3D7_0321700
PVP01_0818300,PF3D7_0321900
PVP01_0818200,PF3D7_0322000
PVP01_0818100,PF3D7_0322100
PVP01_0818000,PF3D7_0322200
PVP01_0817900,PF3D7_0322300
PVP01_0817800,PF3D7_0322400
PVP01_0817600,PF3D7_0322600
PVP01_0817500,PF3D7_0322700
PVP01_0817400,PF3D7_0322800
PVP01_0817300,PF3D7_0322900
PVP01_0817200,PF3D7_0323000
PVP01_0817100,PF3D7_0323100
PVP01_0817000,PF3D7_0323200
PVP01_0816900,PF3D7_0323300
PVP01_0816800,PF3D7_0323400
PVP01_0816700,PF3D7_0323500
PVP01_0816600,PF3D7_0323600
PVP01_0816500,PF3D7_0323700
PVP01_0701200,PF3D7_0402300
PVP01_0302300,PF3D7_0403100
PVP01_0302500,PF3D7_0403300
PVP01_0302700,PF3D7_0403500
PVP01_0302900,PF3D7_0403600
PVP01_0303000,PF3D7_0403700
PVP01_0303200,PF3D7_0403900
PVP01_0303300,PF3D7_0404000
PVP01_1427200,PF3D7_0404100
PVP01_0303500,PF3D7_0404200
PVP01_0304100,PF3D7_0404700
PVP01_0304200,PF3D7_0404800
PVP01_0304400,PF3D7_0405000
PVP01_0304500,PF3D7_0405100
PVP01_0304800,PF3D7_0405400
PVP01_0304900,PF3D7_0405500
PVP01_0305000,PF3D7_0405600
PVP01_0305100,PF3D7_0405700
PVP01_0305200,PF3D7_0405800
PVP01_0305300,PF3D7_0405900
PVP01_0305400,PF3D7_0406000
PVP01_0305500,PF3D7_0406100
PVP01_0305600,PF3D7_0406200
PVP01_0305700,PF3D7_0406400
PVP01_0305900,PF3D7_0406600
PVP01_0306000,PF3D7_0406700
PVP01_0306100,PF3D7_0406800
PVP01_0306400,PF3D7_0407100
PVP01_0306500,PF3D7_0407200
PVP01_0306600,PF3D7_0407300
PVP01_0306700,PF3D7_0407400
PVP01_0306800,PF3D7_0407500
PVP01_0307000,PF3D7_0407700
PVP01_0307100,PF3D7_0407800
PVP01_0307200,PF3D7_0407900
PVP01_0307300,PF3D7_0408000
PVP01_0307400,PF3D7_0408100
PVP01_0307500,PF3D7_0408200
PVP01_0307600,PF3D7_0408300
PVP01_0307700,PF3D7_0408400
PVP01_0307800,PF3D7_0408500
PVP01_0308100,PF3D7_0408800
PVP01_0308300,PF3D7_0409000
PVP01_0308400,PF3D7_0409100
PVP01_0308500,PF3D7_0409200
PVP01_0308700,PF3D7_0409400
PVP01_0308800,PF3D7_0409500
PVP01_0308900,PF3D7_0409600
PVP01_0309000,PF3D7_0409700
PVP01_0309100,PF3D7_0409800
PVP01_0309200,PF3D7_0409900
PVP01_0309600,PF3D7_0410300
PVP01_0309700,PF3D7_0410400
PVP01_0309800,PF3D7_0410500
PVP01_0309900,PF3D7_0410600
PVP01_1033700,PF3D7_0410900
PVP01_0310400,PF3D7_0411100
PVP01_0310500,PF3D7_0411200
PVP01_0310600,PF3D7_0411300
PVP01_0310700,PF3D7_0411400
PVP01_0311000,PF3D7_0411700
PVP01_1274900,PF3D7_0411900
PVP01_0311400,PF3D7_0412000
PVP01_0311600,PF3D7_0412200
PVP01_0520000,PF3D7_0413500
PVP01_0520100,PF3D7_0413600
PVP01_0520200,PF3D7_0413700
PVP01_0520300,PF3D7_0413800
PVP01_0520400,PF3D7_0413900
PVP01_0520500,PF3D7_0414000
PVP01_0520600,PF3D7_0414100
PVP01_0520700,PF3D7_0414200
PVP01_0520800,PF3D7_0414300
PVP01_0521000,PF3D7_0414500
PVP01_0521100,PF3D7_0414600
PVP01_0521200,PF3D7_0414700
PVP01_0521400,PF3D7_0414900
PVP01_0521500,PF3D7_0415000
PVP01_0521600,PF3D7_0415100
PVP01_1470700,PF3D7_0415200
PVP01_0521800,PF3D7_0415300
PVP01_0521900,PF3D7_0415400
PVP01_0522000,PF3D7_0415500
PVP01_0522100,PF3D7_0415600
PVP01_0522200,PF3D7_0415700
PVP01_0522300,PF3D7_0415800
PVP01_0522400,PF3D7_0415900
PVP01_0522500,PF3D7_0416000
PVP01_0525500,PF3D7_0416100
PVP01_0525600,PF3D7_0416200
PVP01_0525700,PF3D7_0416300
PVP01_0525800,PF3D7_0416400
PVP01_0525900,PF3D7_0416500
PVP01_0526000,PF3D7_0416600
PVP01_0526100,PF3D7_0416700
PVP01_0526200,PF3D7_0416800
PVP01_0526300,PF3D7_0416900
PVP01_0526500,PF3D7_0417100
PVP01_0526600,PF3D7_0417200
PVP01_0526700,PF3D7_0417300
PVP01_0526900,PF3D7_0417500
PVP01_0527200,PF3D7_0417800
PVP01_0527300,PF3D7_0417900
PVP01_0527400,PF3D7_0418000
PVP01_0527500,PF3D7_0418100
PVP01_0527600,PF3D7_0418200
PVP01_0527800,PF3D7_0418400
PVP01_0527900,PF3D7_0418500
PVP01_0528100,PF3D7_0418700
PVP01_0528200,PF3D7_0418800
PVP01_0528300,PF3D7_0418900
PVP01_0528400,PF3D7_0419000
PVP01_0528500,PF3D7_0419100
PVP01_0528600,PF3D7_0419200
PVP01_0528700,PF3D7_0419300
PVP01_0528800,PF3D7_0419400
PVP01_0528900,PF3D7_0419500
PVP01_0529000,PF3D7_0419600
PVP01_0529100,PF3D7_0419700
PVP01_0529200,PF3D7_0419800
PVP01_0529300,PF3D7_0419900
PVP01_0529500,PF3D7_0420100
PVP01_0529700,PF3D7_0420200
PVP01_0530000,PF3D7_0420500
PVP01_0530100,PF3D7_0420600
PVP01_0530200,PF3D7_0421700
PVP01_0530300,PF3D7_0421800
PVP01_0530400,PF3D7_0421900
PVP01_0530500,PF3D7_0422000
PVP01_0530700,PF3D7_0422200
PVP01_0530900,PF3D7_0422400
PVP01_0531100,PF3D7_0422600
PVP01_0531200,PF3D7_0422700
PVP01_0531300,PF3D7_0422800
PVP01_0531400,PF3D7_0422900
PVP01_0531600,PF3D7_0423100
PVP01_0531700,PF3D7_0423200
PVP01_0532000,PF3D7_0423500
PVP01_0532100,PF3D7_0423600
PVP01_1033300,PF3D7_0501700
PVP01_1033200,PF3D7_0501800
PVP01_1033100,PF3D7_0501900
PVP01_1033000,PF3D7_0502000
PVP01_1032900,PF3D7_0502100
PVP01_1032800,PF3D7_0502200
PVP01_1032700,PF3D7_0502300
PVP01_1032600,PF3D7_0502400
PVP01_1032500,PF3D7_0502500
PVP01_1032400,PF3D7_0502600
PVP01_1032300,PF3D7_0502700
PVP01_1032200,PF3D7_0502800
PVP01_1032100,PF3D7_0502900
PVP01_1032000,PF3D7_0503000
PVP01_1031900,PF3D7_0503100
PVP01_1031800,PF3D7_0503200
PVP01_1030400,PF3D7_0503500
PVP01_1030300,PF3D7_0503600
PVP01_1030200,PF3D7_0503800
PVP01_1030100,PF3D7_0503900
PVP01_1029900,PF3D7_0504100
PVP01_1029800,PF3D7_0504200
PVP01_1029700,PF3D7_0504300
PVP01_1029600,PF3D7_0504400
PVP01_1029500,PF3D7_0504500
PVP01_1029400,PF3D7_0504600
PVP01_1029100,PF3D7_0504900
PVP01_1028900,PF3D7_0505100
PVP01_1028800,PF3D7_0505200
PVP01_1028700,PF3D7_0505300
PVP01_1028600,PF3D7_0505400
PVP01_1028500,PF3D7_0505500
PVP01_1028400,PF3D7_0505600
PVP01_1028300,PF3D7_0505700
PVP01_1028200,PF3D7_0505800
PVP01_1028100,PF3D7_0505900
PVP01_1028000,PF3D7_0506000
PVP01_1027900,PF3D7_0506100
PVP01_1027800,PF3D7_0506200
PVP01_1027700,PF3D7_0506300
PVP01_1027600,PF3D7_0506400
PVP01_1228300,PF3D7_0506700
PVP01_1027200,PF3D7_0506800
PVP01_1027100,PF3D7_0506900
PVP01_1027000,PF3D7_0507000
PVP01_1026900,PF3D7_0507100
PVP01_1026800,PF3D7_0507200
PVP01_1026600,PF3D7_0507400
PVP01_1026700,PF3D7_0507500
PVP01_1026400,PF3D7_0507600
PVP01_1026300,PF3D7_0507700
PVP01_1026200,PF3D7_0507800
PVP01_1026100,PF3D7_0507900
PVP01_1025900,PF3D7_0508100
PVP01_1025600,PF3D7_0508400
PVP01_1025500,PF3D7_0508500
PVP01_1025400,PF3D7_0508600
PVP01_1025300,PF3D7_0508700
PVP01_1025200,PF3D7_0508800
PVP01_1025000,PF3D7_0509000
PVP01_1024900,PF3D7_0509100
PVP01_1024700,PF3D7_0509300
PVP01_1024600,PF3D7_0509400
PVP01_1024500,PF3D7_0509500
PVP01_1024200,PF3D7_0509800
PVP01_1024100,PF3D7_0509900
PVP01_1024000,PF3D7_0510000
PVP01_1023900,PF3D7_0510100
PVP01_1023800,PF3D7_0510200
PVP01_1023700,PF3D7_0510300
PVP01_1023600,PF3D7_0510400
PVP01_1023500,PF3D7_0510500
PVP01_1023300,PF3D7_0510700
PVP01_1023200,PF3D7_0510800
PVP01_1023000,PF3D7_0511000
PVP01_1022900,PF3D7_0511100
PVP01_1022800,PF3D7_0511200
PVP01_1022700,PF3D7_0511300
PVP01_1022500,PF3D7_0511500
PVP01_1022300,PF3D7_0511700
PVP01_1022200,PF3D7_0511800
PVP01_1022100,PF3D7_0511900
PVP01_1022000,PF3D7_0512000
PVP01_1021900,PF3D7_0512100
PVP01_1021800,PF3D7_0512200
PVP01_1021700,PF3D7_0512300
PVP01_1021600,PF3D7_0512400
PVP01_1021400,PF3D7_0512500
PVP01_1021300,PF3D7_0512600
PVP01_1021100,PF3D7_0512800
PVP01_1021000,PF3D7_0512900
PVP01_1020900,PF3D7_0513000
PVP01_1020800,PF3D7_0513100
PVP01_1020700,PF3D7_0513200
PVP01_1020600,PF3D7_0513300
PVP01_1020400,PF3D7_0513500
PVP01_1020300,PF3D7_0513600
PVP01_1020100,PF3D7_0513800
PVP01_1020000,PF3D7_0513900
PVP01_1019900,PF3D7_0514000
PVP01_1019800,PF3D7_0514100
PVP01_1019700,PF3D7_0514200
PVP01_1019600,PF3D7_0514300
PVP01_1019400,PF3D7_0514500
PVP01_1019300,PF3D7_0514600
PVP01_1019200,PF3D7_0514700
PVP01_1019100,PF3D7_0514800
PVP01_1019000,PF3D7_0514900
PVP01_1018900,PF3D7_0515000
PVP01_1018800,PF3D7_0515100
PVP01_1018700,PF3D7_0515200
PVP01_1018600,PF3D7_0515300
PVP01_1018500,PF3D7_0515400
PVP01_1018400,PF3D7_0515500
PVP01_1018300,PF3D7_0515600
PVP01_1018200,PF3D7_0515700
PVP01_1018100,PF3D7_0515800
PVP01_1405700,PF3D7_0515900
PVP01_1017900,PF3D7_0516000
PVP01_1017800,PF3D7_0516200
PVP01_1017700,PF3D7_0516300
PVP01_1017600,PF3D7_0516400
PVP01_1017500,PF3D7_0516500
PVP01_1017300,PF3D7_0516700
PVP01_1017000,PF3D7_0517000
PVP01_1016900,PF3D7_0517100
PVP01_1016800,PF3D7_0517200
PVP01_1016600,PF3D7_0517400
PVP01_1016500,PF3D7_0517500
PVP01_1016400,PF3D7_0517600
PVP01_1016300,PF3D7_0517700
PVP01_1016200,PF3D7_0517800
PVP01_1015900,PF3D7_0518000
PVP01_1015700,PF3D7_0518200
PVP01_1015600,PF3D7_0518300
PVP01_1015500,PF3D7_0518400
PVP01_1015400,PF3D7_0518500
PVP01_1015300,PF3D7_0518600
PVP01_1015200,PF3D7_0518700
PVP01_1015100,PF3D7_0518800
PVP01_1015000,PF3D7_0518900
PVP01_1014900,PF3D7_0519000
PVP01_1014800,PF3D7_0519100
PVP01_1014700,PF3D7_0519200
PVP01_1014600,PF3D7_0519300
PVP01_1014500,PF3D7_0519400
PVP01_1014400,PF3D7_0519500
PVP01_1014300,PF3D7_0519600
PVP01_1014200,PF3D7_0519700
PVP01_1014000,PF3D7_0519900
PVP01_1013900,PF3D7_0520000
PVP01_1013800,PF3D7_0520100
PVP01_1013700,PF3D7_0520200
PVP01_1013600,PF3D7_0520300
PVP01_1013500,PF3D7_0520400
PVP01_1013400,PF3D7_0520500
PVP01_1013300,PF3D7_0520600
PVP01_1013200,PF3D7_0520700
PVP01_1013000,PF3D7_0520900
PVP01_1012900,PF3D7_0521000
PVP01_1012800,PF3D7_0521100
PVP01_1012700,PF3D7_0521200
PVP01_1012600,PF3D7_0521300
PVP01_1012500,PF3D7_0521400
PVP01_1012300,PF3D7_0521600
PVP01_1012200,PF3D7_0521700
PVP01_1012100,PF3D7_0521800
PVP01_1011900,PF3D7_0522000
PVP01_1011800,PF3D7_0522100
PVP01_1011700,PF3D7_0522200
PVP01_1011600,PF3D7_0522300
PVP01_1011500,PF3D7_0522400
PVP01_1011300,PF3D7_0522600
PVP01_1011100,PF3D7_0522800
PVP01_1010800,PF3D7_0523100
PVP01_1010700,PF3D7_0523200
PVP01_1010600,PF3D7_0523300
PVP01_1010400,PF3D7_0523500
PVP01_1010300,PF3D7_0523600
PVP01_1010200,PF3D7_0523700
PVP01_1010100,PF3D7_0523800
PVP01_1010000,PF3D7_0523900
PVP01_1009900,PF3D7_0524000
PVP01_1009800,PF3D7_0524100
PVP01_1009700,PF3D7_0524200
PVP01_1009600,PF3D7_0524300
PVP01_1009500,PF3D7_0524400
PVP01_1009400,PF3D7_0524500
PVP01_1009200,PF3D7_0524700
PVP01_1009100,PF3D7_0524800
PVP01_1008900,PF3D7_0524900
PVP01_1008800,PF3D7_0525000
PVP01_1008600,PF3D7_0525200
PVP01_1008500,PF3D7_0525300
PVP01_1008400,PF3D7_0525400
PVP01_1008300,PF3D7_0525500
PVP01_1008200,PF3D7_0525600
PVP01_1008100,PF3D7_0525700
PVP01_1008000,PF3D7_0525800
PVP01_1007800,PF3D7_0526000
PVP01_1007700,PF3D7_0526100
PVP01_1007600,PF3D7_0526200
PVP01_1007500,PF3D7_0526300
PVP01_1007400,PF3D7_0526400
PVP01_1007300,PF3D7_0526500
PVP01_1007100,PF3D7_0526700
PVP01_1007000,PF3D7_0526800
PVP01_1006900,PF3D7_0526900
PVP01_1006800,PF3D7_0527000
PVP01_1006700,PF3D7_0527100
PVP01_1006600,PF3D7_0527200
PVP01_1006500,PF3D7_0527300
PVP01_1006400,PF3D7_0527400
